column,count,null_count,bool_count,numeric_count,max,mean,min,stddev,nunique_numbers,nunique_numbers_lower,nunique_numbers_upper,inferred_dtype,dtype_fraction,type_unknown_count,type_null_count,type_fractional_count,type_integral_count,type_boolean_count,type_string_count,nunique_str,nunique_str_lower,ununique_str_upper,quantile_0.0000,quantile_0.0100,quantile_0.0500,quantile_0.2500,quantile_0.5000,quantile_0.7500,quantile_0.9500,quantile_0.9900,quantile_1.0000
sec_app_mort_acc,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
funded_amnt_inv,99999.0,0.0,0.0,99999.0,35000.0,15047.017970179702,900.0,8636.869628541694,1354.0,1354.0,1354.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,1500.0,3500.0,8000.0,13750.0,20000.0,32050.0,35000.0,35000.0
num_tl_op_past_12m,99999.0,0.0,0.0,99999.0,30.0,2.1890418904189044,0.0,1.8782848772528666,26.0,26.0,26.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,8.0,30.0
mths_since_recent_revol_delinq,99999.0,0.0,0.0,35910.0,157.0,35.57062099693679,0.0,22.693776733742176,127.0,127.0,127.0,1.0,0.6408964089640896,0.0,64089.0,35910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,32.0,52.0,76.0,81.0,157.0
sec_app_open_acc,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
recoveries,99999.0,0.0,0.0,99999.0,33407.16,220.20351523515325,0.0,940.6694300118673,11007.795781535358,10870.510965956613,11146.78468396401,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.0,4411.22021484375,33407.16015625
num_tl_30dpd,99999.0,0.0,0.0,99999.0,4.0,0.0042700427004270045,0.0,0.07008469986360959,5.0,5.0,5.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
funded_amnt,99999.0,0.0,0.0,99999.0,35000.0,15055.771557715578,1000.0,8641.834364906523,1350.0,1350.0,1350.0,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1650.0,3600.0,8000.0,14000.0,20000.0,33600.0,35000.0,35000.0
avg_cur_bal,99999.0,0.0,0.0,99999.0,368205.0,13285.574725747258,0.0,15849.150394061331,34019.42433264141,33519.91384215509,34526.30120042521,2.0,1.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,1221.0,3299.0,7556.0,18324.0,42698.0,73488.0,368205.0
sec_app_mths_since_last_major_derog,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
